iter	Logloss
716	0.324529124
717	0.3244714168
718	0.324454103
719	0.3242378485
720	0.3241062608
721	0.3240498249
722	0.3239046195
723	0.3238601526
724	0.3236359057
725	0.3235941423
726	0.3234710341
727	0.3232490978
728	0.3231738915
729	0.3230659862
730	0.3227914363
731	0.3227524733
732	0.3226977845
733	0.3226761554
734	0.3226085597
735	0.3225760881
736	0.3224617835
737	0.322361789
738	0.3222790869
739	0.3221915529
740	0.3221231776
741	0.3220661859
742	0.3218374954
743	0.321748832
744	0.3215660783
745	0.3214166274
746	0.3212099266
747	0.3211114153
748	0.3209738617
749	0.3208801506
750	0.3207649649
751	0.3206966056
752	0.3205757466
753	0.3204123518
754	0.3203622947
755	0.3203016412
756	0.3201904204
757	0.3200986271
758	0.3200061912
759	0.3198529663
760	0.3197467916
761	0.31962785
762	0.3194298985
763	0.3192795992
764	0.3192402931
765	0.3190834633
766	0.3190442256
767	0.3190061333
768	0.3188802988
769	0.3187887001
770	0.3187077059
771	0.3184522818
772	0.3183853273
773	0.3183242755
774	0.318248215
775	0.3181901162
776	0.3179938591
777	0.3179645195
778	0.3178910157
779	0.3176851117
780	0.3174466681
781	0.3172895673
782	0.3170574966
783	0.3169845364
784	0.316849204
785	0.3165862468
786	0.3164460144
787	0.3163353421
788	0.3162996681
789	0.316082668
790	0.3160704907
791	0.3159890716
792	0.3159735634
793	0.3159267425
794	0.3158506555
795	0.3157625787
796	0.3155949653
797	0.3155175852
798	0.3153658386
799	0.3152343468
800	0.3149133044
801	0.3148590404
802	0.3147613153
803	0.3147015175
804	0.3144360423
805	0.3143996871
806	0.3142177116
807	0.3141638708
808	0.3141338753
809	0.3140021668
810	0.3139153059
811	0.3138412892
812	0.31375147
813	0.3134822915
814	0.313321744
815	0.3132888502
816	0.3131743568
817	0.3130010922
818	0.3129254281
819	0.3128688126
820	0.3128107574
821	0.3125176875
822	0.3124692862
823	0.31245842
824	0.3123034404
825	0.3121830426
826	0.3121541053
827	0.3121104121
828	0.3120663649
829	0.3120172194
830	0.3119434826
831	0.3118910295
832	0.3118386871
833	0.3116624558
834	0.3115838499
835	0.3115220333
836	0.3113945081
837	0.3112469427
838	0.3112350379
839	0.3111218184
840	0.3108676604
841	0.3107820409
842	0.3106912884
843	0.3106566179
844	0.3104852448
845	0.3103492634
846	0.3100357068
847	0.3100271432
848	0.3097850031
849	0.3096132465
850	0.3095688055
851	0.3094524268
852	0.3092264326
853	0.3091412062
854	0.3090762635
855	0.3090230619
856	0.3088586829
857	0.3087994115
858	0.3085643658
859	0.308493254
860	0.3083595338
861	0.3082997638
862	0.3082337791
863	0.3081585649
864	0.3080025077
865	0.3078931712
866	0.3078355992
867	0.3077268396
868	0.307612547
869	0.3075797724
870	0.3075357868
871	0.3074643159
872	0.3074144563
873	0.3072947556
874	0.3072607931
875	0.3071732134
876	0.3071690174
877	0.3071177966
878	0.3069627512
879	0.3069522138
880	0.3068689825
881	0.3067586882
882	0.3067286741
883	0.3065999538
884	0.3065415586
885	0.3064855954
886	0.306445876
887	0.3064086841
888	0.306347474
889	0.3063011642
890	0.3062596178
891	0.305971894
892	0.3056706737
893	0.305580431
894	0.3055373134
895	0.3054839266
896	0.3054129805
897	0.3053240701
898	0.3051525582
899	0.3049569168
900	0.3048630447
901	0.3047892864
902	0.3045747414
903	0.3045558762
904	0.3044501468
905	0.3043782102
906	0.3043396973
907	0.3043059168
908	0.3042461676
909	0.3040744592
910	0.3039882297
911	0.3038555462
912	0.303666147
913	0.3036073476
914	0.3035451746
915	0.3034922479
916	0.3034470915
917	0.3033873471
918	0.3033410246
919	0.3032375961
920	0.3031650158
921	0.3030608541
922	0.3029864486
923	0.3026963143
924	0.3024433018
925	0.302286122
926	0.3022771453
927	0.302231422
928	0.3021806236
929	0.3021334359
930	0.3020942555
931	0.3020235983
932	0.3018484434
933	0.3017477386
934	0.3016943225
935	0.3016394752
936	0.3015553001
937	0.3015218225
938	0.3014282669
939	0.3014084989
940	0.3012189414
941	0.3011599237
942	0.3009389155
943	0.3007276135
944	0.3006524912
945	0.3006204573
946	0.3004952081
947	0.300317969
948	0.3002317297
949	0.3001287585
950	0.2998818044
951	0.2998138231
952	0.2996978024
953	0.2995669378
954	0.2994990678
955	0.2994252596
956	0.2993980227
957	0.2991475314
958	0.2990986625
959	0.2989375488
960	0.2988991675
961	0.2986771616
962	0.2984641714
963	0.2984029146
964	0.2983638477
965	0.2982891856
966	0.2981158283
967	0.2980232636
968	0.297900862
969	0.2978556694
970	0.2977677353
971	0.2976649132
972	0.2976245899
973	0.297530155
974	0.2974818737
975	0.2974220692
976	0.2972684258
977	0.2972020597
978	0.2971004137
979	0.297092913
980	0.2970454201
981	0.2969095524
982	0.2965694067
983	0.296456658
984	0.2963085725
985	0.2962714039
986	0.2961350381
987	0.2960498936
988	0.2959418187
989	0.2959248626
990	0.2958754822
991	0.2957463716
992	0.2957094896
993	0.2955883305
994	0.2954152673
995	0.2953273806
996	0.2952638108
997	0.2951625233
998	0.2949811854
999	0.2948876586
